"Easting","Elevation","Vein_Width","Au","Ag"
1996,7010,40.5,0.029,6.25
1986,7010,41.1,0.034,8.78
1977,7010,44.1,0.031,5.5
1969,7010,44.9,0.02,5.18
1957,7010,39.1,0.021,4.21
1946,7010,40.6,0.035,5.62
1935,7010,33.4,0.039,6.51
1927,7010,32.2,0.051,4.77
1917,7010,27.7,0.055,5.08
1903,7010,25.6,0.028,2.83
1897,7010,24.3,0.037,4.35
1887,7010,23.3,0.039,4.43
1874,7010,21.9,0.041,6.12
1864,7010,18,0.028,5.78
1858,7010,21.4,0.032,5.02
1843,7010,19.6,0.031,3.88
1821,7010,25,0.018,3.21
1805,7010,21.5,0.015,4.51
1784,7010,27.7,0.023,2.94
1768,7010,30.1,0.022,5.49
1762,7010,24.3,0.012,3.93
1754,7010,29.7,0.027,5.31
1744,7010,27.2,0.043,6.14
1735,7010,25,0.024,4.45
1717,7010,17.2,0.008,5.11
1705,7010,14.2,0.024,5.06
1693,7010,16,0.045,4.42
1684,7010,15.9,0.05,4.38
1675,7010,13.7,0.054,5.29
1666,7010,15.7,0.029,2.71
1635,7010,17.8,0.012,6.38
1625,7010,18.1,0.039,3.96
1618,7010,17.2,0.034,3.97
1585,7010,19.5,0.025,5.13
1568,7010,18.9,0.003,2.65
1561,7010,20.1,0.013,2.87
1551,7010,21,0.006,4.22
1543,7010,19.9,0.013,2.07
1531,7010,14,0.025,2.56
1509,7010,13,0.013,1.7
1996,6890,46.7,0.044,5.75
1980,6890,54.8,0.038,6.83
1962,6890,51,0.042,6.7
1951,6890,48.3,0.048,6.52
1937,6890,51.4,0.037,6.3
1930,6890,51.7,0.021,4.42
1920,6890,54,0.025,4.55
1905,6890,54.6,0.028,3.7
1893,6890,49.9,0.026,5.51
1877,6890,49.3,0.024,6.5
1865,6890,43.6,0.038,9.32
1853,6890,46.7,0.043,8.53
1837,6890,37,0.101,8.08
1825,6890,36.2,0.018,7.16
1816,6890,35.3,0.015,6.69
1812,6890,37.3,0.02,4.25
1797,6890,35.9,0.029,6.61
1783,6890,30.2,0.026,3.96
1775,6890,32,0.016,6.07
1767,6890,30.2,0.057,6.29
1757,6890,27.1,0.067,8.47
1750,6890,27.7,0.039,9.94
1740,6890,22.6,0.052,9.65
